time,{tank1}.tank1.WaterTank1.inFlow,{tank1}.tank1.Tank1WaterLevel,{tank1}.tank1.Tank2WaterLevel,{tank1}.tank1.Tank2OutFlow,{tank1}.tank1.WaterTank2.I1.state,{tank2}.tank2.puddle,{tank2}.tank2.Tank3OutFlow,{tank2}.tank2.level,{controller}.controller.wt3_valve
31.75,1,2.856551672,2.806943131,0.461926187,46.19261871,6.613537321,0,1.32550655,FALSE
31.8,1,2.890494579,2.80532095,0.461090353,46.10903531,6.613537321,0,1.353224148,FALSE
31.85,1,2.90680035,2.810563617,0.461695407,46.16954068,6.613537321,0,1.371670549,FALSE
31.9,0,2.87768413,2.815267105,0.46303183,46.30318298,6.613537321,0,1.399370256,FALSE
31.95,0,2.862320671,2.812112028,0.462817761,46.28177606,6.613537321,0,1.417887075,FALSE
32,1,2.88335037,2.806685506,0.461645117,46.16451174,6.613537321,0,1.445656854,FALSE
32.05,1,2.901564978,2.810007218,0.461782512,46.17825122,6.613537321,0,1.464126567,FALSE
32.1,0,2.883716867,2.816776681,0.463086413,46.30864127,6.613537321,0,1.49183306,FALSE
32.15,0,2.867265904,2.814699953,0.463142938,46.31429378,6.613537321,0,1.51035217,FALSE
32.2,1,2.887524961,2.810015078,0.462205757,46.22057573,6.613537321,0,1.538140558,FALSE
32.25,1,2.905507234,2.81354431,0.462419035,46.24190347,6.613537321,0,1.556631912,FALSE
32.3,0,2.887494675,2.820437339,0.463777628,46.37776277,6.613537321,0,1.584376344,FALSE
32.35,0,2.870992681,2.818383241,0.463850478,46.38504785,6.613537321,0,1.60292292,FALSE
32.4,1,2.891211605,2.813695238,0.462923817,46.29238171,6.613537321,0,1.630753706,FALSE
32.45,1,2.909177847,2.817211514,0.463139304,46.31393036,6.613537321,0,1.649273747,FALSE
32.5,0,2.891146819,2.824079552,0.464497781,46.44977807,6.613537321,0,1.677061387,FALSE
32.55,0,2.874633633,2.822007748,0.464569331,46.45693313,6.613537321,0,1.69563677,FALSE
32.6,1,2.894835656,2.817293469,0.463639798,46.36397977,6.613537321,0,1.723510692,FALSE
32.65,1,2.912790214,2.820792773,0.463853021,46.38530211,6.613537321,0,1.742059382,FALSE
32.7,0,2.894740932,2.827636281,0.465207821,46.52078214,6.613537321,0,1.769889853,FALSE
32.75,0,2.878215145,2.825548694,0.465276808,46.52768077,6.613537321,0,1.788493649,FALSE
32.8,1,2.898397763,2.820811452,0.464343331,46.43433306,6.613537321,0,1.816410028,FALSE
32.85,1,2.916339128,2.824295842,0.464553886,46.45538856,6.613537321,0,1.834986873,FALSE
32.9,0,2.898269796,2.83111745,0.465904651,46.59046505,6.613537321,0,1.862859404,FALSE
32.95,0,2.881730524,2.829015518,0.465970935,46.59709348,6.613537321,0,1.881491088,FALSE
33,1,2.901892812,2.82425707,0.465033399,46.50333988,6.613537321,0,1.909449123,FALSE
33.05,1,2.919820588,2.827727495,0.465241249,46.52412485,6.613537321,0,1.928053584,FALSE
33.1,0,2.901730862,2.83452837,0.466587962,46.6587962,6.613537321,0,1.955967366,FALSE
33.15,0,2.885178006,2.832412741,0.466651552,46.6651552,6.613537321,0,1.974626395,FALSE
33.2,1,2.905319957,2.827633911,0.465709987,46.57099873,6.613537321,0,2.002625276,FALSE
33.25,1,2.923234212,2.831090846,0.465915161,46.59151609,6.613537321,0,2.021256814,FALSE
33.3,0,2.905124271,2.837871618,0.467257876,46.72578762,6.613537321,0,2.04921104,TRUE
33.35,0,2.888557989,2.835742672,0.467318812,46.7318812,6.653145497,2.753416511,1.964721262,TRUE
33.4,1,2.908679883,2.830943981,0.466373284,46.63732837,6.713952853,2.569048074,1.833163763,TRUE
33.45,1,2.926580824,2.83438775,0.466575827,46.65758269,6.751943503,2.454425159,1.751373712,TRUE
33.5,0,2.908451002,2.841148882,0.467914615,46.79146152,6.805433144,2.294109114,1.63697898,TRUE
33.55,0,2.891871526,2.839006911,0.467972945,46.79729453,6.838935283,2.194548403,1.565936679,TRUE
33.6,1,2.911973722,2.834188786,0.467023527,46.70235273,6.886223004,2.055304074,1.466577831,TRUE
33.65,1,2.929861594,2.837619666,0.46722349,46.72234899,6.915914212,1.968723323,1.404797478,TRUE
33.7,0,2.911712263,2.844361563,0.468558426,46.85584261,6.957923961,1.847630184,1.318390549,TRUE
33.75,0,2.895119844,2.842206834,0.468614201,46.86142008,6.984366216,1.772444338,1.264741118,TRUE
33.8,1,2.91520272,2.837369669,0.467660968,46.76609684,7.021872933,1.667293394,1.189709864,TRUE
33.85,1,2.933077775,2.840787918,0.467858401,46.78584006,7.045540077,1.601899771,1.143047747,TRUE
33.9,0,2.914909313,2.847510965,0.46918956,46.918956,7.07919273,1.510441267,1.077786837,TRUE
33.95,0,2.898304202,2.845343732,0.469242829,46.92428293,7.100481472,1.453671662,1.037278454,TRUE
34,1,2.918368136,2.840487903,0.468285857,46.82858573,7.130830684,1.374279661,0.980627689,TRUE
34.05,1,2.936230625,2.843893773,0.468480809,46.84808088,7.150079387,1.324893733,0.945387984,TRUE
34.1,0,2.918043407,2.850598342,0.469808266,46.98082655,7.177589571,1.255825292,0.896103675,FALSE
34.15,0,2.901425855,2.848418852,0.469859079,46.98590786,7.179074565,0,0.910705496,FALSE
34.2,1,2.921471218,2.843544729,0.468898441,46.88984405,7.179074565,0,0.938896871,FALSE
34.25,1,2.939321389,2.846938463,0.46909096,46.90909602,7.179074565,0,0.957656011,FALSE
34.3,0,2.921115783,2.853624919,0.470414787,47.04147871,7.179074565,0,0.985800827,FALSE
34.35,0,2.904486034,2.851433413,0.470463192,47.04631923,7.179074565,0,1.004613006,FALSE
34.4,1,2.924513192,2.846541356,0.46949896,46.94989604,7.179074565,0,1.032840636,FALSE
34.45,1,2.942351286,2.849923194,0.469689096,46.96890959,7.179074565,0,1.051623808,FALSE
34.5,0,2.924127656,2.856591894,0.471009365,47.10093645,7.179074565,0,1.07980452,FALSE
34.55,0,2.90748595,2.854388609,0.471055409,47.10554092,7.179074565,0,1.098640494,FALSE
34.6,1,2.927495261,2.849478971,0.470087654,47.00876542,7.179074565,0,1.126903665,FALSE
34.65,1,2.945321516,2.852849147,0.470275453,47.02754527,7.179074565,0,1.145710397,FALSE
34.7,0,2.927080216,2.85950044,0.471592233,47.1592233,7.179074565,0,1.173926298,FALSE
34.75,0,2.910426788,2.857285608,0.471635964,47.16359638,7.179074565,0,1.192785598,FALSE
34.8,1,2.930418605,2.852358736,0.470664755,47.0664755,7.179074565,0,1.22108361,FALSE
34.85,1,2.948233254,2.855717479,0.470850262,47.08502624,7.179074565,0,1.239913438,FALSE
34.9,0,2.929974632,2.862351708,0.472163623,47.21636232,7.179074565,0,1.268163835,FALSE
34.95,0,2.913309714,2.860125557,0.472205086,47.22050855,7.179074565,0,1.287046002,FALSE
35,1,2.933284379,2.85518179,0.471230491,47.1230491,7.179074565,0,1.315378169,FALSE
35.05,1,2.951087652,2.858529326,0.471413752,47.14137524,7.179074565,0,1.334230638,FALSE
35.1,0,2.932812049,2.865146827,0.472723761,47.2723761,7.179074565,0,1.362514852,FALSE
35.15,0,2.916135866,2.862909579,0.472763,47.27629996,7.179074565,0,1.381419436,FALSE
35.2,1,2.936093719,2.85794925,0.471785086,47.17850861,7.179074565,0,1.409785085,FALSE
35.25,1,2.953885838,2.861285799,0.471966146,47.19661458,7.179074565,0,1.428659748,FALSE
35.3,0,2.935593588,2.867886902,0.473272868,47.32728681,7.179074565,0,1.456977113,FALSE
35.35,0,2.918906363,2.865638776,0.473309927,47.33099268,7.179074565,0,1.475903672,FALSE
35.4,1,2.938847734,2.860662211,0.47232876,47.23287595,7.179074565,0,1.504302144,FALSE
