Time,WaterTank1InFlow,Tank1WaterLevel,Tank2WaterLevel,Tank2OutFlow,WaterTank2State,Tank2Puddle,Tank3OutFlow,Tank2.level,controllerwt3_valve
9,1,1.808102996,1.73575382,0.246460742,24.64607422,0.022567583,0,0.938911642,FALSE
9.05,1,1.827868801,1.746097341,0.248173874,24.81738737,0.022567583,0,0.948767352,FALSE
9.1,0,1.804602199,1.757715471,0.25098431,25.09843097,0.022567583,0,0.963652074,FALSE
9.15,0,1.793340874,1.758920916,0.251678517,25.16785167,0.022567583,0,0.973682078,FALSE
9.2,1,1.814852569,1.758975268,0.251636349,25.16363495,0.022567583,0,0.988780475,FALSE
9.25,1,1.838274371,1.765475426,0.25241691,25.24169097,0.022567583,0,0.998846069,FALSE
9.3,0,1.850883952,1.780977912,0.255179074,25.5179074,0.022567583,0,1.013988482,FALSE
9.35,0,1.834475016,1.78714297,0.256881539,25.68815387,0.022567583,0,1.024186438,FALSE
9.4,0,1.818541183,1.787634001,0.257589389,25.7589389,0.022567583,0,1.039593655,FALSE
9.45,1,1.844429782,1.788111569,0.257475223,25.74752229,0.022567583,0,1.049894871,FALSE
9.5,1,1.877843133,1.799215138,0.258975416,25.89754158,0.022567583,0,1.065343765,FALSE
9.55,0,1.880168487,1.809825898,0.26096017,26.09601695,0.022567583,0,1.075697781,FALSE
9.6,0,1.857438509,1.816823847,0.263079297,26.30792974,0.022567583,0,1.091348776,FALSE
9.65,0,1.847535936,1.816196525,0.263313278,26.33132783,0.022567583,0,1.101864884,FALSE
9.7,1,1.885524015,1.819080416,0.263409027,26.34090268,0.022567583,0,1.1176629,FALSE
9.75,1,1.906550971,1.827495025,0.264642665,26.46426649,0.022567583,0,1.128198942,FALSE
9.8,0,1.899615078,1.841799192,0.267562259,26.75622588,0.022567583,0,1.14407339,FALSE
9.85,0,1.885862272,1.844823892,0.268690467,26.86904668,0.022567583,0,1.154766149,FALSE
9.9,1,1.887684259,1.843537842,0.268777256,26.87772559,0.022567583,0,1.170883816,FALSE
9.95,1,1.913666513,1.84680339,0.268964671,26.89646715,0.022567583,0,1.181634617,FALSE
10,1,1.943889108,1.860388117,0.271077583,27.1077583,0.022567583,0,1.197771872,FALSE
10.05,0,1.927479094,1.869247836,0.273062928,27.30629282,0.022567583,0,1.208607933,FALSE
10.1,0,1.908213113,1.87208074,0.274355585,27.43555846,0.022567583,0,1.22498509,FALSE
10.15,1,1.915272551,1.870714871,0.274223494,27.42234939,0.022567583,0,1.235955005,FALSE
10.2,1,1.952009904,1.877515488,0.274869579,27.48695791,0.022567583,0,1.252408855,FALSE
10.25,1,1.971204402,1.887296218,0.276469928,27.64699283,0.022567583,0,1.263401485,FALSE
10.3,0,1.947085091,1.898074351,0.27911203,27.91120299,0.022567583,0,1.279984346,FALSE
10.35,0,1.935258112,1.898722575,0.279694571,27.96945705,0.022567583,0,1.29114002,FALSE
10.4,1,1.955925535,1.89794524,0.279485735,27.94857346,0.022567583,0,1.307919752,FALSE
10.45,1,1.978787281,1.903893691,0.280155734,28.01557336,0.022567583,0,1.319099878,FALSE
10.5,0,1.990560945,1.91857272,0.282752878,28.27528784,0.022567583,0,1.335906989,FALSE
10.55,0,1.973597495,1.924191531,0.284345876,28.43458758,0.022567583,0,1.347208447,FALSE
10.6,0,1.956836017,1.923867255,0.28489034,28.48903396,0.022567583,0,1.364263889,FALSE
10.65,1,1.982175589,1.92380398,0.284667789,28.46677895,0.022567583,0,1.375657688,FALSE
10.7,1,2.014769484,1.934100309,0.286006213,28.60062126,0.022567583,0,1.392738497,FALSE
10.75,0,2.016551244,1.944175579,0.287883655,28.78836548,0.022567583,0,1.404174284,FALSE
10.8,0,1.993009919,1.950374275,0.289842614,28.98426136,0.022567583,0,1.421441045,FALSE
10.85,0,1.982569131,1.949216762,0.289970345,28.99703449,0.022567583,0,1.43302822,FALSE
10.9,1,2.019753891,1.95130931,0.289907509,28.99075094,0.022567583,0,1.450426015,FALSE
10.95,1,2.040247959,1.959198973,0.291035949,29.10359492,0.022567583,0,1.462022525,FALSE
11,0,2.032516696,1.972719628,0.293798528,29.37985283,0.022567583,0,1.47948092,FALSE
11.05,0,2.018236275,1.975224578,0.294822579,29.4822579,0.022567583,0,1.491223653,FALSE
11.1,1,2.019270763,1.973162768,0.294753907,29.4753907,0.022567583,0,1.508909594,FALSE
11.15,1,2.044730622,1.975913709,0.294838196,29.4838196,0.022567583,0,1.520699979,FALSE
11.2,1,2.074173511,1.988730353,0.296797185,29.67971848,0.022567583,0,1.53838999,FALSE
11.25,0,2.057246272,1.997080556,0.298680424,29.86804238,0.022567583,0,1.550255347,FALSE
11.3,0,2.0372083,1.999152978,0.299820681,29.98206807,0.022567583,0,1.568169895,FALSE
11.35,1,2.04375563,1.997282636,0.299587494,29.95874942,0.022567583,0,1.580158922,FALSE
11.4,1,2.079728632,2.003330295,0.300082688,30.00826878,0.022567583,0,1.598134949,FALSE
11.45,1,2.09841609,2.012611544,0.301582942,30.15829417,0.022567583,0,1.610136605,FALSE
11.5,0,2.073539991,2.022644171,0.304075645,30.40756449,0.022567583,0,1.628226581,FALSE
11.55,0,2.061210989,2.022797856,0.304559081,30.45590807,0.022567583,0,1.640381298,FALSE
11.6,1,2.081129114,2.021282391,0.304202325,30.42023246,0.022567583,0,1.658653231,FALSE
11.65,1,2.103493805,2.026741198,0.304774199,30.47741995,0.022567583,0,1.670822513,FALSE
11.7,0,2.114525584,2.040689402,0.307224888,30.72248879,0.022567583,0,1.689107059,FALSE
11.75,0,2.097069998,2.045823413,0.308720732,30.87207321,0.022567583,0,1.701387886,FALSE
11.8,0,2.079573976,2.044775543,0.309120189,30.91201888,0.022567583,0,1.719906143,FALSE
11.85,1,2.104426282,2.044232266,0.308801447,30.88014469,0.022567583,0,1.73226962,FALSE
11.9,1,2.136292902,2.053812161,0.309996298,30.99962978,0.022567583,0,1.750798769,FALSE
11.95,0,2.137592218,2.063412178,0.3117785,31.17785,0.022567583,0,1.763194638,FALSE
12,0,2.113330815,2.068901531,0.313595307,31.35953073,0.022567583,0,1.781895407,TRUE
12.05,0,2.102412356,2.067273468,0.313628741,31.36287411,0.675952482,2.389181705,1.70481875,FALSE
12.1,1,2.138884164,2.068663691,0.313425161,31.34251607,0.705316784,0,1.715672424,TRUE
12.15,1,2.158905287,2.076087461,0.314460236,31.44602361,0.967976499,2.301024018,1.641913163,FALSE
12.2,0,2.150468127,2.08891274,0.317083463,31.70834631,0.987948328,0,1.653107247,TRUE
12.25,0,2.135719441,2.090956407,0.318015073,31.80150732,1.18304825,2.217922974,1.582615782,FALSE
12.3,1,2.136055018,2.088206103,0.317808428,31.78084281,1.198856034,0,1.594300504,TRUE
12.35,1,2.161051246,2.090500325,0.317801191,31.78011913,1.358609336,2.139690306,1.526792267,FALSE
12.4,1,2.189802138,2.102635288,0.319623572,31.96235722,1.371912475,0,1.538728062,TRUE
12.45,0,2.172415857,2.110533293,0.321416191,32.14161911,1.508819569,2.065801171,1.474068114,FALSE
12.5,0,2.151692736,2.111930779,0.322421192,32.24211919,1.520396863,0,1.486461106,TRUE
12.55,1,2.157785566,2.109612712,0.322098282,32.2098282,1.640938731,1.996378496,1.424531037,FALSE
12.6,1,2.193080199,2.114992115,0.322459558,32.24595579,1.651233324,0,1.437203415,TRUE
12.65,1,2.211317654,2.12383007,0.323870976,32.38709763,1.759283266,1.930810627,1.377744586,FALSE
12.7,0,2.185769899,2.133201052,0.326231087,32.62310869,1.768574587,0,1.390736105,TRUE
12.75,0,2.172995348,2.132915829,0.326626566,32.66265662,1.866688364,1.869149208,1.333745612,FALSE
12.8,1,2.192248462,2.130745268,0.32613853,32.61385297,1.875168555,0,1.34711139,TRUE
12.85,1,2.214172012,2.13576951,0.326623318,32.66233184,1.965145761,1.811082667,1.292311791,FALSE
12.9,0,2.224545362,2.1490691,0.328944026,32.89440255,1.972953055,0,1.305870632,TRUE
12.95,0,2.206653,2.153772846,0.330353645,33.03536453,2.056106794,1.756322695,1.253237397,FALSE
13,0,2.188505064,2.15208278,0.330624407,33.06244069,2.063344714,0,1.267199508,TRUE
13.05,1,2.212924917,2.151113497,0.330220294,33.02202938,2.140693174,1.704943597,1.216575452,FALSE
13.1,1,2.244146074,2.160057551,0.331287723,33.1287723,2.147442964,0,1.230706871,TRUE
13.15,0,2.245017215,2.169235777,0.332985399,33.29853989,2.219770058,1.656396525,1.18193432,FALSE
13.2,0,2.220116736,2.17409558,0.334676045,33.46760454,2.226095005,0,1.196386463,TRUE
13.25,0,2.208774341,2.1720499,0.334625789,33.46257892,2.294041943,1.610890486,1.14946314,FALSE
13.3,1,2.244613396,2.172816803,0.334297297,33.42972965,2.299994731,0,1.16417122,TRUE
13.35,1,2.264214777,2.179827088,0.33524951,33.52495101,2.364082344,1.567993193,1.118853451,FALSE
13.4,0,2.255151126,2.192035216,0.337749061,33.77490608,2.369705553,0,1.133738603,TRUE
13.45,0,2.239986852,2.193669489,0.338598629,33.85986291,2.430363324,1.527656379,1.090070811,FALSE
13.5,1,2.239702137,2.190308141,0.338269531,33.82695315,2.435692959,0,1.105291708,TRUE
13.55,1,2.264286889,2.192197021,0.338181065,33.81810646,2.493292812,1.489828181,1.063078213,FALSE
13.6,1,2.292423628,2.203726985,0.339882205,33.98822047,2.498359693,0,1.078403278,TRUE
13.65,0,2.274629942,2.211223659,0.341594397,34.15943975,2.553205172,1.454112723,1.037593176,FALSE
13.7,0,2.253298745,2.212022133,0.342479357,34.24793572,2.558034877,0,1.05323609,TRUE
13.75,1,2.258988202,2.209306706,0.342076817,34.2076817,2.610400714,1.420754858,1.013790418,FALSE
13.8,1,2.293680776,2.214093026,0.34231924,34.23192397,2.615016515,0,1.02958052,TRUE
13.85,1,2.31151885,2.222537552,0.343651816,34.36518157,2.665131303,1.389258207,0.991315744,FALSE
13.9,0,2.285374993,2.231321319,0.345894249,34.58942492,2.66955233,0,1.00729955,TRUE
13.95,0,2.272205012,2.230646562,0.346211666,34.62116663,2.717619616,1.359783401,0.970283773,FALSE
14,1,2.290867924,2.227894597,0.345607117,34.56071172,2.721863476,0,0.986522803,TRUE
14.05,1,2.312399958,2.232533158,0.346014616,34.60146161,2.768065643,1.33212191,0.950545705,FALSE
14.1,0,2.322188945,2.245257097,0.348219963,34.82199635,2.77214758,0,0.966864817,TRUE
14.15,0,2.303908941,2.24957898,0.349553058,34.95530584,2.816637212,1.306082842,0.931965331,FALSE
14.2,0,2.285182425,2.247318958,0.349709602,34.97096018,2.820570498,0,0.948580461,TRUE
14.25,1,2.309218472,2.24597159,0.349229721,34.9229721,2.863495407,1.281832604,0.914661389,FALSE
14.3,1,2.339866774,2.254351329,0.350184062,35.01840623,2.867292627,0,0.931343997,TRUE
14.35,0,2.340357906,2.263155211,0.35180672,35.18067202,2.908772782,1.258909427,0.898304382,FALSE
14.4,0,2.314890242,2.267456284,0.353385398,35.33853979,2.912444164,0,0.915211012,TRUE
