time,Tank2OutFlow,Tank2.puddle,Tank3OutFlow,Tank2.level,wt3_valve
177.35,0.500273304,20.30789587,0,1.341056415,0
177.4,0.500691745,20.30789587,0,1.361064121,0
177.45,0.499724157,20.30789587,0,1.391104231,0
177.5,0.499305726,20.30789587,0,1.411096423,0
177.55,0.500273329,20.30789587,0,1.441056161,0
177.6,0.50069177,20.30789587,0,1.461063869,0
177.65,0.499724182,20.30789587,0,1.49110398,0
177.7,0.499305751,20.30789587,0,1.511096173,0
177.75,0.500273354,20.30789587,0,1.541055913,0
177.8,0.500691794,20.30789587,0,1.561063622,0
177.85,0.499724206,20.30789587,0,1.591103734,0
177.9,0.499305775,20.30789587,0,1.611095928,0
177.95,0.500273378,20.30789587,0,1.641055669,0
178,0.500691819,20.30789587,0,1.661063379,0
178.05,0.49972423,20.30789587,0,1.691103493,0
178.1,0.499305799,20.30789587,0,1.711095688,0
178.15,0.500273402,20.30789587,0,1.741055431,0
178.2,0.500691842,20.30789587,0,1.761063141,0
178.25,0.499724254,20.30789587,0,1.791103257,0
178.3,0.499305823,20.30789587,0,1.811095453,0
178.35,0.500273425,20.30789587,0,1.841055197,0
178.4,0.500691865,20.30789587,0,1.861062908,0
178.45,0.499724277,20.30789587,0,1.891103025,0
178.5,0.499305845,20.30789587,0,1.911095222,0
178.55,0.500273448,20.30789587,0,1.941054967,0
178.6,0.500691888,20.30789587,0,1.96106268,0
178.65,0.499724299,20.30789587,0,1.991102798,0
178.7,0.499305868,20.30789587,0,2.011094996,0
178.75,0.50027347,20.30789587,0,2.041054742,0
178.8,0.50069191,20.30789587,0,2.061062456,1
178.85,0.499724321,20.3277731,2.70826954,1.932506298,1
178.9,0.49930589,20.34103502,2.587875207,1.846598007,1
178.95,0.500273492,20.35982335,2.419439009,1.726409079,1
179,0.500691932,20.37166006,2.314811632,1.651751419,1
179.05,0.499724343,20.38845802,2.168505528,1.547353588,1
179.1,0.499305911,20.3990596,2.077536374,1.482441857,1
179.15,0.500273513,20.41413143,1.950257753,1.391621231,1
179.2,0.500691953,20.42366122,1.871207744,1.335214496,1
179.25,0.499724364,20.43723591,1.760677208,1.256344593,1
179.3,0.499305933,20.44583644,1.691940772,1.207297187,1
179.35,0.500273534,20.45811197,1.595759493,1.138666305,1
179.4,0.500691974,20.46590556,1.53603492,1.096049382,1
179.45,0.499724385,20.47705377,1.452535252,1.03646756,1
179.5,0.499305953,20.48414752,1.400597143,0.999406728,1
179.55,0.500273555,20.49431702,1.327912015,0.947541703,1
179.6,0.500691995,20.50080268,1.282789119,0.915343918,0
179.65,0.499724405,20.5013338,0,0.941108079,0
179.7,0.499305974,20.5013338,0,0.961100281,0
179.75,0.500273575,20.5013338,0,0.991060034,0
179.8,0.500692015,20.5013338,0,1.011067751,0
179.85,0.499724425,20.5013338,0,1.041107878,0
179.9,0.499305993,20.5013338,0,1.06110008,0
179.95,0.500273595,20.5013338,0,1.091059834,0
180,0.500692034,20.5013338,0,1.111067553,0
180.05,0.499724445,20.5013338,0,1.14110768,0
180.1,0.499306013,20.5013338,0,1.161099883,0
180.15,0.500273614,20.5013338,0,1.191059639,0
180.2,0.500692054,20.5013338,0,1.211067358,0
180.25,0.499724464,20.5013338,0,1.241107486,0
180.3,0.499306032,20.5013338,0,1.26109969,0
180.35,0.500273633,20.5013338,0,1.291059447,0
180.4,0.500692073,20.5013338,0,1.311067167,0
180.45,0.499724483,20.5013338,0,1.341107296,0
180.5,0.499306051,20.5013338,0,1.361099501,0
180.55,0.500273652,20.5013338,0,1.391059259,0
180.6,0.500692091,20.5013338,0,1.41106698,0
180.65,0.499724501,20.5013338,0,1.44110711,0
180.7,0.499306069,20.5013338,0,1.461099316,0
180.75,0.50027367,20.5013338,0,1.491059075,0
180.8,0.500692109,20.5013338,0,1.511066796,0
180.85,0.499724519,20.5013338,0,1.541106928,0
180.9,0.499306087,20.5013338,0,1.561099134,0
180.95,0.500273688,20.5013338,0,1.591058894,0
181,0.500692127,20.5013338,0,1.611066616,0
181.05,0.499724537,20.5013338,0,1.641106749,0
181.1,0.499306105,20.5013338,0,1.661098956,0
181.15,0.500273706,20.5013338,0,1.691058717,0
181.2,0.500692145,20.5013338,0,1.71106644,0
181.25,0.499724555,20.5013338,0,1.741106574,0
181.3,0.499306122,20.5013338,0,1.761098781,0
181.35,0.500273723,20.5013338,0,1.791058543,0
181.4,0.500692162,20.5013338,0,1.811066267,0
181.45,0.499724572,20.5013338,0,1.841106402,0
181.5,0.499306139,20.5013338,0,1.86109861,0
181.55,0.50027374,20.5013338,0,1.891058373,0
181.6,0.500692179,20.5013338,0,1.911066097,0
181.65,0.499724588,20.5013338,0,1.941106233,0
181.7,0.499306156,20.5013338,0,1.961098442,0
181.75,0.500273756,20.5013338,0,1.991058206,0
181.8,0.500692195,20.5013338,0,2.011065931,0
181.85,0.499724605,20.5013338,0,2.041106068,0
181.9,0.499306172,20.5013338,0,2.061098277,1
181.95,0.500273772,20.5210236,2.708207746,1.932462204,1
182,0.500692211,20.53416045,2.587838188,1.846571592,1
182.05,0.499724621,20.55277236,2.419513184,1.726462007,1
182.1,0.499306188,20.56449834,2.31486039,1.651786211,1
182.15,0.500273788,20.58113886,2.168442191,1.547308393,1
182.2,0.500692227,20.59164097,2.077497895,1.4824144,1
182.25,0.499724637,20.60657206,1.950330587,1.391673201,1
182.3,0.499306204,20.61601321,1.871255232,1.335248382,1
182.35,0.500273804,20.62946128,1.760612703,1.256298565,1
182.4,0.500692243,20.63798142,1.691901189,1.207268942,1
182.45,0.499724652,20.65014285,1.595831311,1.138717551,1
182.5,0.499306219,20.6578643,1.536081447,1.096082582,1
182.55,0.500273819,20.66890891,1.452469864,1.036420902,1
182.6,0.500692258,20.67593656,1.400556724,0.999377887,1
182.65,0.499724667,20.68601187,1.327983064,0.947592401,1
182.7,0.499306234,20.69243776,1.28283492,0.915376599,0
182.75,0.500273834,20.69296398,0,0.941060252,0
182.8,0.500692273,20.69296398,0,0.96106798,0
182.85,0.499724682,20.69296398,0,0.991108121,0
182.9,0.499306249,20.69296398,0,1.011100334,0
